CommodityKey,commodity
1,Banana (Sour)
2,Beans
3,Big Onion (Imp)
4,Big Onion (Local)
5,Brinjal
6,Cabbage
7,Carrot
8,Coconut (Avg.)
9,Coconut oil
10,Dried Chilli (Imp)
11,Egg (White)
12,Green Chilli
13,Katta (Imp)
14,Lime
15,Papaw
16,Pineapple
17,Potato (Imp)
18,Potato (Local)
19,Pumpkin
20,Red Dhal
21,Red Onion (Local)
22,Snake gourd
23,Sprat (Imp)
24,Sugar (White)
25,Tomato
